transaction_id,order_id,customer_id,amount,currency,payment_method,bank,status,failure_reason,retry_count,created_at,is_recoverable,optimal_action,recovery_probability,expected_outcome
TXN_c912024c702a,ORDER_0000025,CUST_00863,16587.59,INR,WALLET,SBI,SUCCESS,,0,2026-08-07 04:40:41.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_c0afa287df80,ORDER_0000026,CUST_01547,774.76,INR,WALLET,AXIS,SUCCESS,,0,2026-07-11 02:40:58.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_d7bc8e2b3c4d,ORDER_0000027,CUST_00940,134.0,INR,WALLET,HDFC,FAILED,BANK_DECLINED,0,2026-07-04 08:35:13.122833,True,PAYMENT_LINK,0.601,RECOVERABLE
TXN_dbdb462b7382,ORDER_0000028,CUST_00522,703.27,INR,UPI,HDFC,SUCCESS,,0,2026-07-25 20:17:45.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_f4831b174ad0,ORDER_0000029,CUST_01457,7422.23,INR,UPI,SBI,SUCCESS,,0,2026-08-21 06:05:50.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_858f6e883efb,ORDER_0000030,CUST_01760,85464.63,INR,CARD,SBI,SUCCESS,,0,2026-06-12 08:34:54.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_b4d2891acd63,ORDER_0000031,CUST_01401,259.51,INR,WALLET,KOTAK,FAILED,AUTHENTICATION_FAILED,0,2026-06-10 03:09:05.122833,True,CUSTOMER_NUDGE,0.213,RECOVERABLE
TXN_207270f7cb22,ORDER_0000032,CUST_01319,1100.9,INR,NETBANKING,ICICI,SUCCESS,,0,2026-07-07 08:46:04.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_e551ab2a5d51,ORDER_0000033,CUST_00363,90341.89,INR,WALLET,HDFC,SUCCESS,,0,2026-06-23 14:04:09.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_bfd7d35765c3,ORDER_0000034,CUST_00506,67131.14,INR,CARD,ICICI,SUCCESS,,0,2026-08-03 20:01:52.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_645f188fcd08,ORDER_0000035,CUST_00335,19251.4,INR,NETBANKING,KOTAK,SUCCESS,,0,2026-07-02 12:48:44.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_be2f0cf316e9,ORDER_0000036,CUST_00759,6383.85,INR,WALLET,HDFC,SUCCESS,,0,2026-08-16 01:52:13.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_0a2da26a7976,ORDER_0000037,CUST_00628,281.56,INR,CARD,HDFC,FAILED,BANK_DECLINED,0,2026-06-11 11:18:37.122833,True,PAYMENT_LINK,0.578,RECOVERABLE
TXN_3f2be8f8b14f,ORDER_0000038,CUST_00980,114.43,INR,CARD,KOTAK,SUCCESS,,0,2026-08-07 14:47:06.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_1b11cf945375,ORDER_0000039,CUST_01281,89405.75,INR,WALLET,KOTAK,SUCCESS,,0,2026-06-18 21:33:36.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_a4b97c31a928,ORDER_0000040,CUST_01352,1396.11,INR,CARD,HDFC,SUCCESS,,0,2026-07-03 22:15:45.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_e112f58810d2,ORDER_0000041,CUST_01467,28640.74,INR,UPI,HDFC,FAILED,BANK_DECLINED,0,2026-07-10 22:55:49.122833,False,DO_NOT_CONTACT,0.559,NON_RECOVERABLE
TXN_8b8db20351b3,ORDER_0000042,CUST_00942,2087.24,INR,CARD,HDFC,SUCCESS,,0,2026-07-03 23:51:58.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_d90e55f39b08,ORDER_0000043,CUST_01087,4619.26,INR,NETBANKING,HDFC,SUCCESS,,0,2026-06-23 06:08:59.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_7323509640a6,ORDER_0000044,CUST_01162,83357.64,INR,WALLET,AXIS,SUCCESS,,0,2026-08-02 04:10:44.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_f5f3870d13f3,ORDER_0000045,CUST_01761,1605.98,INR,NETBANKING,KOTAK,SUCCESS,,0,2026-08-16 02:52:28.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_5a351c46110c,ORDER_0000046,CUST_01556,19163.22,INR,UPI,HDFC,FAILED,UPI_TIMEOUT,0,2026-08-18 10:08:01.122833,False,DO_NOT_CONTACT,0.869,NON_RECOVERABLE
TXN_30d3853b326c,ORDER_0000047,CUST_01907,991.48,INR,WALLET,SBI,SUCCESS,,0,2026-07-30 20:09:23.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_4f317eb4c5ec,ORDER_0000048,CUST_00490,44970.89,INR,CARD,SBI,SUCCESS,,0,2026-06-15 12:07:02.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_3c310f09076e,ORDER_0000049,CUST_01260,6718.18,INR,WALLET,HDFC,SUCCESS,,0,2026-08-24 06:37:47.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_46bfb27260a5,ORDER_0000050,CUST_01157,11588.39,INR,UPI,KOTAK,SUCCESS,,0,2026-07-16 04:24:16.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_6a2f809d836c,ORDER_0000051,CUST_01953,30918.29,INR,UPI,ICICI,SUCCESS,,0,2026-08-10 00:16:10.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_66db401cd9ba,ORDER_0000052,CUST_00534,989.54,INR,WALLET,KOTAK,SUCCESS,,0,2026-07-02 14:02:03.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_87ea9a82d4fc,ORDER_0000053,CUST_00711,312.76,INR,NETBANKING,AXIS,SUCCESS,,0,2026-06-08 09:59:43.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_890b4d57ac76,ORDER_0000054,CUST_01298,5488.54,INR,UPI,KOTAK,FAILED,UPI_TIMEOUT,0,2026-06-22 10:37:01.122833,True,RETRY,0.804,RECOVERABLE
TXN_1519f52c43f9,ORDER_0000055,CUST_00070,3142.58,INR,WALLET,SBI,SUCCESS,,0,2026-08-13 08:57:18.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_d44d66e05312,ORDER_0000056,CUST_01593,889.6,INR,CARD,AXIS,SUCCESS,,0,2026-07-23 04:05:11.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_d1fd07a05971,ORDER_0000057,CUST_01257,812.6,INR,WALLET,HDFC,SUCCESS,,0,2026-06-24 19:59:48.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_2c624de63e5a,ORDER_0000058,CUST_00964,31802.41,INR,CARD,AXIS,FAILED,LIMIT_EXCEEDED,0,2026-06-07 20:21:58.122833,False,DO_NOT_CONTACT,0.203,NON_RECOVERABLE
TXN_0f0ff45de539,ORDER_0000059,CUST_01862,32350.42,INR,WALLET,AXIS,SUCCESS,,0,2026-08-09 04:48:36.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_bfb5a946ffcb,ORDER_0000060,CUST_01656,6472.57,INR,WALLET,KOTAK,SUCCESS,,0,2026-06-20 10:03:24.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_35d59f2fc2e9,ORDER_0000061,CUST_01008,498.12,INR,CARD,AXIS,SUCCESS,,0,2026-06-21 06:50:30.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_c21595b20d59,ORDER_0000062,CUST_01967,146.9,INR,NETBANKING,SBI,SUCCESS,,0,2026-06-11 12:10:46.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_72a5fc88d18c,ORDER_0000063,CUST_00444,256.31,INR,WALLET,KOTAK,SUCCESS,,0,2026-06-25 13:00:26.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_04a33ea67153,ORDER_0000064,CUST_01114,556.68,INR,UPI,SBI,SUCCESS,,0,2026-08-11 15:59:11.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_b886d06031d1,ORDER_0000065,CUST_00624,4816.15,INR,CARD,SBI,SUCCESS,,0,2026-06-30 07:17:06.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_ac6525cfec3b,ORDER_0000066,CUST_00241,9709.53,INR,CARD,AXIS,FAILED,LIMIT_EXCEEDED,0,2026-06-10 08:48:55.122833,True,PAYMENT_LINK,0.202,RECOVERABLE
TXN_8b4ac8cbf3ce,ORDER_0000067,CUST_00493,4236.24,INR,WALLET,SBI,FAILED,NETWORK_TIMEOUT,0,2026-07-15 10:50:43.122833,True,RETRY,0.916,RECOVERABLE
TXN_e38068ff0653,ORDER_0000068,CUST_00221,480.43,INR,NETBANKING,SBI,FAILED,BANK_DECLINED,0,2026-08-21 04:10:48.122833,True,PAYMENT_LINK,0.592,RECOVERABLE
TXN_9ca148ddb8ca,ORDER_0000069,CUST_00750,5338.01,INR,WALLET,AXIS,SUCCESS,,0,2026-08-24 12:25:38.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_4037066f8b41,ORDER_0000070,CUST_00695,37020.84,INR,NETBANKING,HDFC,SUCCESS,,0,2026-06-17 10:24:41.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_53004ab98247,ORDER_0000071,CUST_00675,2581.29,INR,UPI,KOTAK,SUCCESS,,0,2026-07-16 15:20:11.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_a507b8900b73,ORDER_0000072,CUST_01952,6059.28,INR,WALLET,HDFC,SUCCESS,,0,2026-06-15 20:47:49.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_a9e0350827ba,ORDER_0000073,CUST_01866,743.38,INR,NETBANKING,HDFC,SUCCESS,,0,2026-06-03 20:16:14.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_8b32dc95fe8a,ORDER_0000074,CUST_01963,7573.32,INR,CARD,HDFC,SUCCESS,,0,2026-08-31 11:22:52.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_4447b23f2540,ORDER_0000075,CUST_00782,4551.85,INR,NETBANKING,KOTAK,FAILED,CUSTOMER_CANCELLED,0,2026-07-20 03:06:05.122833,False,DO_NOT_CONTACT,0.056,NON_RECOVERABLE
TXN_7c71b4bc59dc,ORDER_0000076,CUST_00834,377.03,INR,CARD,KOTAK,SUCCESS,,0,2026-08-31 01:51:21.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_af7c25fe0dd4,ORDER_0000077,CUST_01650,9389.17,INR,UPI,SBI,SUCCESS,,0,2026-06-27 09:09:35.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_4032481f3d2c,ORDER_0000078,CUST_00651,41372.08,INR,WALLET,ICICI,SUCCESS,,0,2026-07-20 00:56:10.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_959a06f42ea1,ORDER_0000079,CUST_00525,4313.62,INR,WALLET,ICICI,FAILED,LIMIT_EXCEEDED,0,2026-08-31 13:18:35.122833,False,DO_NOT_CONTACT,0.215,NON_RECOVERABLE
TXN_4023188ebfbe,ORDER_0000080,CUST_00320,3221.13,INR,CARD,ICICI,SUCCESS,,0,2026-08-02 20:35:27.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_dd9e097c217e,ORDER_0000081,CUST_00467,735.9,INR,CARD,AXIS,FAILED,BANK_DECLINED,0,2026-06-27 23:18:33.122833,True,PAYMENT_LINK,0.59,RECOVERABLE
TXN_e2c85224b038,ORDER_0000082,CUST_00163,644.89,INR,UPI,ICICI,SUCCESS,,0,2026-07-31 01:28:27.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_f93d8826fb90,ORDER_0000083,CUST_01780,620.51,INR,NETBANKING,SBI,SUCCESS,,0,2026-08-16 10:51:36.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_47afa220318c,ORDER_0000084,CUST_00729,44591.3,INR,NETBANKING,ICICI,FAILED,INSUFFICIENT_FUNDS,0,2026-07-29 12:13:03.122833,False,DO_NOT_CONTACT,0.476,NON_RECOVERABLE
TXN_24efb5764afd,ORDER_0000085,CUST_01299,1723.13,INR,UPI,KOTAK,SUCCESS,,0,2026-06-18 16:45:42.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_6ca83f2f7728,ORDER_0000086,CUST_00296,37199.76,INR,WALLET,KOTAK,SUCCESS,,0,2026-08-05 12:44:54.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_462b15b8befb,ORDER_0000087,CUST_01099,76054.01,INR,WALLET,AXIS,SUCCESS,,0,2026-08-26 00:15:19.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_be2ad68d40b0,ORDER_0000088,CUST_00206,6725.62,INR,CARD,HDFC,SUCCESS,,0,2026-08-20 15:39:12.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_ebae71a77f88,ORDER_0000089,CUST_00588,7738.57,INR,WALLET,KOTAK,FAILED,BANK_DECLINED,0,2026-08-09 11:10:25.122833,False,DO_NOT_CONTACT,0.62,NON_RECOVERABLE
TXN_342035ce36a1,ORDER_0000090,CUST_00504,377.29,INR,NETBANKING,AXIS,SUCCESS,,0,2026-06-12 00:05:23.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_1362895d85c6,ORDER_0000091,CUST_01287,57246.58,INR,UPI,AXIS,SUCCESS,,0,2026-06-30 14:14:46.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_8f9b58e788a4,ORDER_0000092,CUST_01633,43718.62,INR,NETBANKING,HDFC,SUCCESS,,0,2026-06-15 15:22:52.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_389fcccb5ae5,ORDER_0000093,CUST_00306,2637.86,INR,UPI,ICICI,FAILED,NETWORK_TIMEOUT,0,2026-07-27 15:47:06.122833,True,RETRY,0.833,RECOVERABLE
TXN_b5e486bf9046,ORDER_0000094,CUST_00999,832.93,INR,NETBANKING,AXIS,FAILED,INSUFFICIENT_FUNDS,0,2026-08-20 03:53:15.122833,True,PAYMENT_LINK,0.447,RECOVERABLE
TXN_935c5801b2db,ORDER_0000095,CUST_00653,3334.17,INR,UPI,ICICI,SUCCESS,,0,2026-07-15 09:20:27.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_c2fec17ca165,ORDER_0000096,CUST_01908,664.15,INR,NETBANKING,AXIS,FAILED,UPI_TIMEOUT,0,2026-06-10 08:20:06.122833,True,RETRY,0.831,RECOVERABLE
TXN_cd69bc3bad2b,ORDER_0000097,CUST_00137,4399.56,INR,UPI,SBI,SUCCESS,,0,2026-06-05 11:29:34.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_ad36ded7cf2c,ORDER_0000098,CUST_00868,627.08,INR,UPI,SBI,SUCCESS,,0,2026-06-03 12:30:59.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_ce3fc13c12e9,ORDER_0000099,CUST_00764,10650.4,INR,WALLET,ICICI,SUCCESS,,0,2026-08-18 05:21:02.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_613e4154e5f7,ORDER_0000100,CUST_00987,988.86,INR,NETBANKING,AXIS,FAILED,LIMIT_EXCEEDED,0,2026-07-09 01:43:46.122833,False,DO_NOT_CONTACT,0.224,NON_RECOVERABLE
TXN_6152bcf76d11,ORDER_0000101,CUST_01897,9882.07,INR,CARD,ICICI,SUCCESS,,0,2026-07-18 13:04:28.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_6f96f9fe71e8,ORDER_0000102,CUST_01739,40289.52,INR,UPI,AXIS,SUCCESS,,0,2026-08-28 00:34:10.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_12ec478f2bb4,ORDER_0000103,CUST_01934,3837.01,INR,CARD,KOTAK,SUCCESS,,0,2026-08-06 04:06:34.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_29bc9a6f67af,ORDER_0000104,CUST_01936,6497.28,INR,UPI,SBI,SUCCESS,,0,2026-08-19 21:06:37.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_4744bebb2e8d,ORDER_0000105,CUST_01653,72847.74,INR,UPI,HDFC,SUCCESS,,0,2026-08-22 17:02:13.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_e650a8339969,ORDER_0000106,CUST_00176,64171.83,INR,WALLET,AXIS,SUCCESS,,0,2026-06-29 17:34:16.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_adf5db1e4300,ORDER_0000107,CUST_00735,7762.96,INR,UPI,AXIS,SUCCESS,,0,2026-08-01 15:13:42.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_6807b32aef57,ORDER_0000108,CUST_01653,56342.26,INR,CARD,ICICI,FAILED,INSUFFICIENT_FUNDS,0,2026-06-20 20:17:05.122833,False,DO_NOT_CONTACT,0.492,NON_RECOVERABLE
TXN_3883f6409a55,ORDER_0000109,CUST_01669,6742.66,INR,CARD,ICICI,SUCCESS,,0,2026-06-04 05:06:58.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_3fbd081e2286,ORDER_0000110,CUST_00066,97263.78,INR,WALLET,AXIS,FAILED,AUTHENTICATION_FAILED,0,2026-07-04 04:53:36.122833,False,DO_NOT_CONTACT,0.2,NON_RECOVERABLE
TXN_a01cef4e9384,ORDER_0000111,CUST_00047,53608.25,INR,NETBANKING,AXIS,SUCCESS,,0,2026-08-01 01:48:30.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_164a01a0ea81,ORDER_0000112,CUST_01261,4135.01,INR,NETBANKING,ICICI,FAILED,CUSTOMER_CANCELLED,0,2026-08-05 12:24:20.122833,False,DO_NOT_CONTACT,0.053,NON_RECOVERABLE
TXN_9d618a31406d,ORDER_0000113,CUST_01943,9146.82,INR,NETBANKING,KOTAK,SUCCESS,,0,2026-07-31 13:10:56.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_9d363dd2c84e,ORDER_0000114,CUST_01743,56804.9,INR,WALLET,KOTAK,SUCCESS,,0,2026-08-17 19:13:32.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_b7cab63e97d5,ORDER_0000115,CUST_00510,871.12,INR,UPI,AXIS,SUCCESS,,0,2026-07-01 20:33:25.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_61c7d4c538f6,ORDER_0000116,CUST_01473,9966.74,INR,WALLET,SBI,SUCCESS,,0,2026-06-18 21:57:22.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_78bb68cebf2f,ORDER_0000117,CUST_01617,53395.17,INR,NETBANKING,KOTAK,SUCCESS,,0,2026-06-25 23:42:22.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_575ca8c2a436,ORDER_0000118,CUST_00456,94978.89,INR,WALLET,KOTAK,SUCCESS,,0,2026-06-11 06:45:21.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_521a184560df,ORDER_0000119,CUST_01107,9940.25,INR,NETBANKING,SBI,SUCCESS,,0,2026-08-29 05:41:17.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_97a396cae924,ORDER_0000120,CUST_01671,74725.75,INR,CARD,SBI,SUCCESS,,0,2026-07-18 20:13:46.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_1213cadf0187,ORDER_0000121,CUST_01681,69892.87,INR,CARD,SBI,SUCCESS,,0,2026-08-03 02:38:20.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_835850cbe2d8,ORDER_0000122,CUST_01380,752.87,INR,CARD,KOTAK,SUCCESS,,0,2026-07-28 12:28:37.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_2185b82fe44e,ORDER_0000123,CUST_00075,6406.11,INR,NETBANKING,HDFC,SUCCESS,,0,2026-08-29 23:12:28.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_bf70924f8b68,ORDER_0000124,CUST_00031,44348.55,INR,CARD,ICICI,SUCCESS,,0,2026-08-17 19:44:17.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_12be01544050,ORDER_0000125,CUST_01875,605.71,INR,WALLET,ICICI,SUCCESS,,0,2026-06-27 18:05:50.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_d99f4a72fae7,ORDER_0000126,CUST_01598,18022.55,INR,UPI,KOTAK,SUCCESS,,0,2026-07-30 02:17:30.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_835cd73474fe,ORDER_0000127,CUST_01959,7701.56,INR,WALLET,ICICI,SUCCESS,,0,2026-06-14 23:16:08.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_7d12ff114593,ORDER_0000128,CUST_00378,868.0,INR,UPI,SBI,SUCCESS,,0,2026-07-02 18:34:43.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_3226971ea12d,ORDER_0000129,CUST_00183,5820.43,INR,WALLET,AXIS,SUCCESS,,0,2026-07-03 15:11:12.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_637f907c770b,ORDER_0000130,CUST_01809,794.15,INR,WALLET,AXIS,FAILED,LIMIT_EXCEEDED,0,2026-07-23 01:28:23.122833,False,DO_NOT_CONTACT,0.213,NON_RECOVERABLE
TXN_ed444d9f106b,ORDER_0000131,CUST_01962,697.37,INR,UPI,HDFC,SUCCESS,,0,2026-07-24 20:40:41.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_9ab08d32b5e0,ORDER_0000132,CUST_01980,3843.34,INR,WALLET,ICICI,SUCCESS,,0,2026-08-22 21:13:15.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_1e19cdd33e4c,ORDER_0000133,CUST_00043,7119.83,INR,WALLET,HDFC,FAILED,AUTHENTICATION_FAILED,0,2026-06-16 18:16:05.122833,False,DO_NOT_CONTACT,0.214,NON_RECOVERABLE
TXN_f0ff77af8579,ORDER_0000134,CUST_00008,772.35,INR,NETBANKING,ICICI,FAILED,UPI_TIMEOUT,0,2026-07-30 17:51:25.122833,True,RETRY,0.813,RECOVERABLE
TXN_44893753e3b1,ORDER_0000135,CUST_01183,5521.4,INR,NETBANKING,AXIS,SUCCESS,,0,2026-08-23 21:34:38.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_0b21f7f2d2b0,ORDER_0000136,CUST_01028,5304.54,INR,NETBANKING,AXIS,SUCCESS,,0,2026-06-30 21:35:51.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
