subscription_id,customer_id,plan,amount,billing_cycle,status,next_payment_date
SUB_000027,CUST_01125,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-22 14:21:58.219018
SUB_000028,CUST_01921,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-14 14:21:58.219018
SUB_000029,CUST_01695,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-30 14:21:58.219018
SUB_000030,CUST_00284,BUSINESS,4999,MONTHLY,CANCELLED,2026-09-28 14:21:58.221024
SUB_000031,CUST_01343,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-21 14:21:58.221024
SUB_000032,CUST_01587,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-07 14:21:58.221024
SUB_000033,CUST_00840,BASIC,499,YEARLY,ACTIVE,2026-09-23 14:21:58.221024
SUB_000034,CUST_01623,ENTERPRISE,19999,MONTHLY,CANCELLED,2026-09-25 14:21:58.221024
SUB_000035,CUST_00258,BUSINESS,4999,YEARLY,ACTIVE,2026-09-04 14:21:58.221024
SUB_000036,CUST_01507,PRO,1499,MONTHLY,ACTIVE,2026-09-03 14:21:58.221024
SUB_000037,CUST_00858,PRO,1499,MONTHLY,CANCELLED,2026-09-25 14:21:58.221024
SUB_000038,CUST_01783,BASIC,499,YEARLY,ACTIVE,2026-09-27 14:21:58.221024
SUB_000039,CUST_00172,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-24 14:21:58.221024
SUB_000040,CUST_00834,PRO,1499,MONTHLY,ACTIVE,2026-09-05 14:21:58.221024
SUB_000041,CUST_01137,BUSINESS,4999,YEARLY,PAST_DUE,2026-09-13 14:21:58.221024
SUB_000042,CUST_01947,PRO,1499,YEARLY,ACTIVE,2026-09-25 14:21:58.221024
SUB_000043,CUST_01962,PRO,1499,YEARLY,CANCELLED,2026-09-19 14:21:58.221024
SUB_000044,CUST_01283,BASIC,499,YEARLY,CANCELLED,2026-09-28 14:21:58.221024
SUB_000045,CUST_00715,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-01 14:21:58.221024
SUB_000046,CUST_01354,PRO,1499,YEARLY,ACTIVE,2026-09-11 14:21:58.223029
SUB_000047,CUST_01813,BUSINESS,4999,YEARLY,CANCELLED,2026-09-15 14:21:58.223029
SUB_000048,CUST_00594,BUSINESS,4999,YEARLY,CANCELLED,2026-09-04 14:21:58.223029
SUB_000049,CUST_01384,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-24 14:21:58.223029
SUB_000050,CUST_01773,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-21 14:21:58.223029
SUB_000051,CUST_01287,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-26 14:21:58.223029
SUB_000052,CUST_01869,BASIC,499,MONTHLY,ACTIVE,2026-09-11 14:21:58.223029
SUB_000053,CUST_00283,BUSINESS,4999,MONTHLY,CANCELLED,2026-09-24 14:21:58.223029
SUB_000054,CUST_01269,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-07 14:21:58.223029
SUB_000055,CUST_00070,BUSINESS,4999,YEARLY,ACTIVE,2026-09-14 14:21:58.223029
SUB_000056,CUST_01227,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-23 14:21:58.223029
SUB_000057,CUST_00821,BUSINESS,4999,YEARLY,ACTIVE,2026-09-10 14:21:58.223029
SUB_000058,CUST_00110,BUSINESS,4999,YEARLY,ACTIVE,2026-09-21 14:21:58.223029
SUB_000059,CUST_00258,PRO,1499,MONTHLY,CANCELLED,2026-09-02 14:21:58.223029
SUB_000060,CUST_00598,BUSINESS,4999,YEARLY,ACTIVE,2026-09-11 14:21:58.225035
SUB_000061,CUST_01793,PRO,1499,YEARLY,CANCELLED,2026-09-03 14:21:58.225035
SUB_000062,CUST_00784,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-18 14:21:58.225035
SUB_000063,CUST_01838,BASIC,499,YEARLY,CANCELLED,2026-09-15 14:21:58.225035
SUB_000064,CUST_01245,PRO,1499,MONTHLY,PAST_DUE,2026-09-18 14:21:58.225035
SUB_000065,CUST_00697,BASIC,499,MONTHLY,PAST_DUE,2026-09-26 14:21:58.225035
SUB_000066,CUST_01071,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-02 14:21:58.225035
SUB_000067,CUST_00856,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-27 14:21:58.225035
SUB_000068,CUST_01003,BASIC,499,YEARLY,PAST_DUE,2026-09-03 14:21:58.225035
SUB_000069,CUST_00724,BUSINESS,4999,YEARLY,ACTIVE,2026-09-26 14:21:58.225035
SUB_000070,CUST_01030,BASIC,499,MONTHLY,PAST_DUE,2026-09-21 14:21:58.225035
SUB_000071,CUST_00001,BASIC,499,MONTHLY,PAST_DUE,2026-09-07 14:21:58.227042
SUB_000072,CUST_01374,ENTERPRISE,19999,MONTHLY,CANCELLED,2026-09-07 14:21:58.227042
SUB_000073,CUST_01886,ENTERPRISE,19999,MONTHLY,PAST_DUE,2026-09-24 14:21:58.227042
SUB_000074,CUST_01040,ENTERPRISE,19999,MONTHLY,PAST_DUE,2026-09-21 14:21:58.227042
SUB_000075,CUST_00494,PRO,1499,YEARLY,ACTIVE,2026-09-12 14:21:58.227042
SUB_000076,CUST_00490,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-10 14:21:58.227042
SUB_000077,CUST_01125,BASIC,499,MONTHLY,ACTIVE,2026-09-26 14:21:58.227042
SUB_000078,CUST_00273,BASIC,499,YEARLY,ACTIVE,2026-09-26 14:21:58.227042
SUB_000079,CUST_00936,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-04 14:21:58.227042
SUB_000080,CUST_01641,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-08 14:21:58.227042
SUB_000081,CUST_00412,ENTERPRISE,19999,MONTHLY,CANCELLED,2026-09-15 14:21:58.227042
SUB_000082,CUST_00040,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-15 14:21:58.227042
SUB_000083,CUST_01497,BUSINESS,4999,MONTHLY,CANCELLED,2026-09-26 14:21:58.227042
SUB_000084,CUST_00679,BASIC,499,MONTHLY,CANCELLED,2026-09-22 14:21:58.227042
SUB_000085,CUST_01861,PRO,1499,YEARLY,CANCELLED,2026-09-04 14:21:58.227042
SUB_000086,CUST_01748,PRO,1499,MONTHLY,ACTIVE,2026-09-26 14:21:58.227042
SUB_000087,CUST_00309,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-05 14:21:58.227042
SUB_000088,CUST_00606,BASIC,499,MONTHLY,PAST_DUE,2026-09-13 14:21:58.227042
SUB_000089,CUST_01963,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-28 14:21:58.227042
SUB_000090,CUST_00487,PRO,1499,YEARLY,ACTIVE,2026-09-02 14:21:58.227042
SUB_000091,CUST_01029,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-09 14:21:58.227042
SUB_000092,CUST_00063,PRO,1499,MONTHLY,CANCELLED,2026-09-29 14:21:58.227042
SUB_000093,CUST_00566,PRO,1499,MONTHLY,ACTIVE,2026-09-18 14:21:58.227042
SUB_000094,CUST_01988,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-18 14:21:58.227042
SUB_000095,CUST_01075,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-09 14:21:58.227042
SUB_000096,CUST_00570,BASIC,499,YEARLY,CANCELLED,2026-09-09 14:21:58.227042
SUB_000097,CUST_01561,PRO,1499,YEARLY,ACTIVE,2026-09-05 14:21:58.227042
SUB_000098,CUST_00728,BASIC,499,YEARLY,CANCELLED,2026-09-14 14:21:58.227042
SUB_000099,CUST_01937,PRO,1499,MONTHLY,CANCELLED,2026-09-07 14:21:58.227042
SUB_000100,CUST_01153,BASIC,499,YEARLY,ACTIVE,2026-09-24 14:21:58.227042
SUB_000101,CUST_00965,PRO,1499,YEARLY,ACTIVE,2026-09-16 14:21:58.227042
SUB_000102,CUST_00254,PRO,1499,YEARLY,PAST_DUE,2026-09-26 14:21:58.227042
SUB_000103,CUST_00437,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-18 14:21:58.227042
SUB_000104,CUST_00084,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-23 14:21:58.227042
SUB_000105,CUST_01538,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-15 14:21:58.234148
SUB_000106,CUST_00486,BUSINESS,4999,YEARLY,ACTIVE,2026-09-16 14:21:58.234148
SUB_000107,CUST_01800,BASIC,499,YEARLY,PAST_DUE,2026-09-07 14:21:58.234148
SUB_000108,CUST_01167,BASIC,499,YEARLY,CANCELLED,2026-09-26 14:21:58.234148
SUB_000109,CUST_01579,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-29 14:21:58.234148
SUB_000110,CUST_01698,PRO,1499,YEARLY,PAST_DUE,2026-09-18 14:21:58.235750
SUB_000111,CUST_00588,BUSINESS,4999,YEARLY,CANCELLED,2026-09-24 14:21:58.235750
SUB_000112,CUST_00182,BASIC,499,MONTHLY,CANCELLED,2026-09-26 14:21:58.235750
SUB_000113,CUST_00456,ENTERPRISE,19999,MONTHLY,CANCELLED,2026-09-05 14:21:58.235750
SUB_000114,CUST_01491,PRO,1499,MONTHLY,ACTIVE,2026-09-26 14:21:58.235750
SUB_000115,CUST_01342,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-07 14:21:58.235750
SUB_000116,CUST_00495,PRO,1499,MONTHLY,ACTIVE,2026-09-23 14:21:58.235750
SUB_000117,CUST_01828,ENTERPRISE,19999,MONTHLY,PAST_DUE,2026-09-16 14:21:58.236819
SUB_000118,CUST_01277,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-14 14:21:58.236819
SUB_000119,CUST_00953,PRO,1499,YEARLY,PAST_DUE,2026-09-10 14:21:58.237400
SUB_000120,CUST_01015,PRO,1499,MONTHLY,PAST_DUE,2026-09-29 14:21:58.237400
SUB_000121,CUST_00910,PRO,1499,MONTHLY,ACTIVE,2026-09-02 14:21:58.237400
SUB_000122,CUST_00796,BASIC,499,MONTHLY,CANCELLED,2026-09-20 14:21:58.237400
SUB_000123,CUST_01739,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-28 14:21:58.238420
SUB_000124,CUST_00882,BUSINESS,4999,YEARLY,ACTIVE,2026-09-24 14:21:58.238828
SUB_000125,CUST_00997,BUSINESS,4999,YEARLY,ACTIVE,2026-09-05 14:21:58.239368
SUB_000126,CUST_00479,BUSINESS,4999,YEARLY,CANCELLED,2026-09-18 14:21:58.239368
SUB_000127,CUST_00046,BASIC,499,MONTHLY,ACTIVE,2026-09-11 14:21:58.239964
SUB_000128,CUST_00939,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-09 14:21:58.239964
SUB_000129,CUST_00642,PRO,1499,YEARLY,CANCELLED,2026-09-01 14:21:58.240401
SUB_000130,CUST_01420,BASIC,499,YEARLY,ACTIVE,2026-09-17 14:21:58.240401
SUB_000131,CUST_00862,PRO,1499,MONTHLY,PAST_DUE,2026-09-26 14:21:58.241444
SUB_000132,CUST_01765,BUSINESS,4999,YEARLY,ACTIVE,2026-09-11 14:21:58.241444
SUB_000133,CUST_01580,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-26 14:21:58.241444
SUB_000134,CUST_00813,BASIC,499,MONTHLY,ACTIVE,2026-09-16 14:21:58.241444
SUB_000135,CUST_00787,PRO,1499,MONTHLY,CANCELLED,2026-09-16 14:21:58.241444
SUB_000136,CUST_00309,BASIC,499,YEARLY,CANCELLED,2026-09-16 14:21:58.241444
SUB_000137,CUST_01829,PRO,1499,YEARLY,PAST_DUE,2026-09-07 14:21:58.241444
SUB_000138,CUST_00808,PRO,1499,MONTHLY,PAST_DUE,2026-09-14 14:21:58.241444
SUB_000139,CUST_01078,BUSINESS,4999,YEARLY,ACTIVE,2026-09-27 14:21:58.241444
SUB_000140,CUST_01624,PRO,1499,YEARLY,CANCELLED,2026-09-01 14:21:58.241444
SUB_000141,CUST_00214,BASIC,499,MONTHLY,PAST_DUE,2026-09-11 14:21:58.241444
SUB_000142,CUST_00734,PRO,1499,YEARLY,ACTIVE,2026-09-08 14:21:58.241444
SUB_000143,CUST_00688,BUSINESS,4999,YEARLY,ACTIVE,2026-09-14 14:21:58.241444
SUB_000144,CUST_01520,ENTERPRISE,19999,MONTHLY,CANCELLED,2026-09-27 14:21:58.241444
SUB_000145,CUST_00707,PRO,1499,YEARLY,ACTIVE,2026-09-18 14:21:58.241444
SUB_000146,CUST_00008,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-21 14:21:58.241444
SUB_000147,CUST_01975,PRO,1499,MONTHLY,CANCELLED,2026-09-20 14:21:58.241444
SUB_000148,CUST_01308,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-15 14:21:58.241444
SUB_000149,CUST_00641,PRO,1499,YEARLY,PAST_DUE,2026-09-30 14:21:58.241444
SUB_000150,CUST_01363,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-27 14:21:58.241444
SUB_000151,CUST_00302,BUSINESS,4999,YEARLY,CANCELLED,2026-09-23 14:21:58.241444
SUB_000152,CUST_01907,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-05 14:21:58.241444
SUB_000153,CUST_00282,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-23 14:21:58.241444
SUB_000154,CUST_00065,PRO,1499,YEARLY,CANCELLED,2026-09-02 14:21:58.241444
SUB_000155,CUST_01928,BASIC,499,MONTHLY,ACTIVE,2026-09-29 14:21:58.241444
SUB_000156,CUST_01141,BUSINESS,4999,YEARLY,ACTIVE,2026-09-20 14:21:58.241444
SUB_000157,CUST_01140,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-25 14:21:58.241444
SUB_000158,CUST_01808,BASIC,499,YEARLY,CANCELLED,2026-09-17 14:21:58.241444
SUB_000159,CUST_00788,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-15 14:21:58.241444
SUB_000160,CUST_01873,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-01 14:21:58.241444
SUB_000161,CUST_01298,BUSINESS,4999,YEARLY,PAST_DUE,2026-09-29 14:21:58.241444
SUB_000162,CUST_01415,BASIC,499,MONTHLY,PAST_DUE,2026-09-30 14:21:58.251335
SUB_000163,CUST_01484,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-13 14:21:58.251335
SUB_000164,CUST_01183,PRO,1499,YEARLY,PAST_DUE,2026-09-10 14:21:58.251335
SUB_000165,CUST_01415,BUSINESS,4999,YEARLY,CANCELLED,2026-09-19 14:21:58.251335
SUB_000166,CUST_00440,PRO,1499,YEARLY,ACTIVE,2026-09-19 14:21:58.251335
SUB_000167,CUST_00295,PRO,1499,YEARLY,ACTIVE,2026-09-05 14:21:58.251335
SUB_000168,CUST_01535,BASIC,499,MONTHLY,PAST_DUE,2026-09-18 14:21:58.251335
SUB_000169,CUST_00441,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-20 14:21:58.251335
SUB_000170,CUST_00255,PRO,1499,YEARLY,CANCELLED,2026-09-22 14:21:58.251335
SUB_000171,CUST_00324,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-27 14:21:58.251335
SUB_000172,CUST_01231,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-29 14:21:58.251335
SUB_000173,CUST_00292,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-28 14:21:58.251335
SUB_000174,CUST_00442,BASIC,499,MONTHLY,ACTIVE,2026-09-02 14:21:58.251335
SUB_000175,CUST_00867,PRO,1499,MONTHLY,ACTIVE,2026-09-25 14:21:58.251335
SUB_000176,CUST_01887,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-06 14:21:58.251335
SUB_000177,CUST_01771,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-27 14:21:58.253342
SUB_000178,CUST_00823,BASIC,499,MONTHLY,ACTIVE,2026-09-03 14:21:58.253342
SUB_000179,CUST_00926,PRO,1499,MONTHLY,CANCELLED,2026-09-22 14:21:58.253342
SUB_000180,CUST_00769,PRO,1499,YEARLY,PAST_DUE,2026-09-25 14:21:58.253342
SUB_000181,CUST_01781,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-25 14:21:58.253342
SUB_000182,CUST_00418,PRO,1499,MONTHLY,CANCELLED,2026-09-26 14:21:58.253342
SUB_000183,CUST_01410,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-16 14:21:58.253342
SUB_000184,CUST_01388,ENTERPRISE,19999,MONTHLY,CANCELLED,2026-09-08 14:21:58.253342
SUB_000185,CUST_01290,BASIC,499,YEARLY,ACTIVE,2026-09-09 14:21:58.253342
SUB_000186,CUST_01506,BUSINESS,4999,YEARLY,PAST_DUE,2026-09-25 14:21:58.253342
SUB_000187,CUST_01538,BUSINESS,4999,YEARLY,ACTIVE,2026-09-14 14:21:58.253342
SUB_000188,CUST_01193,BASIC,499,YEARLY,ACTIVE,2026-09-12 14:21:58.253342
SUB_000189,CUST_00947,BUSINESS,4999,MONTHLY,CANCELLED,2026-09-04 14:21:58.253342
SUB_000190,CUST_00347,PRO,1499,YEARLY,ACTIVE,2026-09-04 14:21:58.253342
SUB_000191,CUST_01150,BASIC,499,YEARLY,CANCELLED,2026-09-05 14:21:58.253342
SUB_000192,CUST_00644,BASIC,499,YEARLY,CANCELLED,2026-09-08 14:21:58.253342
SUB_000193,CUST_00107,BASIC,499,YEARLY,PAST_DUE,2026-09-22 14:21:58.253342
SUB_000194,CUST_00859,BASIC,499,MONTHLY,ACTIVE,2026-09-04 14:21:58.253342
SUB_000195,CUST_00725,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-12 14:21:58.256188
SUB_000196,CUST_01063,PRO,1499,YEARLY,ACTIVE,2026-09-25 14:21:58.256188
SUB_000197,CUST_00603,PRO,1499,MONTHLY,ACTIVE,2026-09-18 14:21:58.256188
SUB_000198,CUST_00422,BASIC,499,MONTHLY,CANCELLED,2026-09-30 14:21:58.256188
SUB_000199,CUST_00725,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-26 14:21:58.256188
SUB_000200,CUST_00762,BASIC,499,MONTHLY,ACTIVE,2026-09-03 14:21:58.257409
SUB_000201,CUST_00521,PRO,1499,YEARLY,ACTIVE,2026-09-25 14:21:58.257409
SUB_000202,CUST_01393,BASIC,499,YEARLY,ACTIVE,2026-09-28 14:21:58.257409
SUB_000203,CUST_00839,PRO,1499,YEARLY,PAST_DUE,2026-09-13 14:21:58.257409
SUB_000204,CUST_00777,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-06 14:21:58.257409
SUB_000205,CUST_00423,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-29 14:21:58.257409
SUB_000206,CUST_01012,ENTERPRISE,19999,MONTHLY,PAST_DUE,2026-09-09 14:21:58.258408
SUB_000207,CUST_00537,PRO,1499,MONTHLY,ACTIVE,2026-09-19 14:21:58.258408
SUB_000208,CUST_00770,BASIC,499,YEARLY,ACTIVE,2026-09-23 14:21:58.258408
SUB_000209,CUST_00785,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-16 14:21:58.258408
SUB_000210,CUST_01047,BASIC,499,MONTHLY,ACTIVE,2026-09-30 14:21:58.259407
SUB_000211,CUST_00158,BUSINESS,4999,MONTHLY,CANCELLED,2026-09-15 14:21:58.259407
SUB_000212,CUST_01191,BASIC,499,YEARLY,PAST_DUE,2026-09-24 14:21:58.260406
SUB_000213,CUST_01638,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-16 14:21:58.260406
SUB_000214,CUST_00325,PRO,1499,MONTHLY,CANCELLED,2026-09-22 14:21:58.260406
SUB_000215,CUST_00981,PRO,1499,MONTHLY,PAST_DUE,2026-09-12 14:21:58.261412
SUB_000216,CUST_00318,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-14 14:21:58.261412
SUB_000217,CUST_00594,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-05 14:21:58.261412
SUB_000218,CUST_01047,BUSINESS,4999,YEARLY,CANCELLED,2026-09-10 14:21:58.261412
SUB_000219,CUST_00180,PRO,1499,YEARLY,PAST_DUE,2026-09-05 14:21:58.262410
SUB_000220,CUST_00318,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-25 14:21:58.262410
SUB_000221,CUST_00347,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-26 14:21:58.262410
SUB_000222,CUST_00422,BASIC,499,YEARLY,ACTIVE,2026-09-22 14:21:58.262410
SUB_000223,CUST_00203,BUSINESS,4999,YEARLY,ACTIVE,2026-09-06 14:21:58.263410
SUB_000224,CUST_01981,BASIC,499,MONTHLY,CANCELLED,2026-09-28 14:21:58.263410
SUB_000225,CUST_00716,BASIC,499,YEARLY,CANCELLED,2026-09-05 14:21:58.263410
SUB_000226,CUST_01320,PRO,1499,YEARLY,PAST_DUE,2026-09-04 14:21:58.263410
SUB_000227,CUST_01207,BUSINESS,4999,YEARLY,ACTIVE,2026-09-07 14:21:58.264412
SUB_000228,CUST_00755,PRO,1499,YEARLY,PAST_DUE,2026-09-11 14:21:58.264412
SUB_000229,CUST_01434,PRO,1499,MONTHLY,PAST_DUE,2026-09-01 14:21:58.264412
SUB_000230,CUST_01451,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-17 14:21:58.264412
SUB_000231,CUST_00891,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-16 14:21:58.264412
SUB_000232,CUST_00806,PRO,1499,YEARLY,ACTIVE,2026-09-25 14:21:58.264412
SUB_000233,CUST_00392,BUSINESS,4999,YEARLY,CANCELLED,2026-09-09 14:21:58.264412
SUB_000234,CUST_00247,BASIC,499,MONTHLY,CANCELLED,2026-09-19 14:21:58.265407
SUB_000235,CUST_00665,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-20 14:21:58.265407
SUB_000236,CUST_01382,BASIC,499,MONTHLY,CANCELLED,2026-09-10 14:21:58.265407
SUB_000237,CUST_01706,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-28 14:21:58.265407
SUB_000238,CUST_00990,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-25 14:21:58.265407
SUB_000239,CUST_01308,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-28 14:21:58.265407
SUB_000240,CUST_00884,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-25 14:21:58.265407
SUB_000241,CUST_00088,BUSINESS,4999,MONTHLY,CANCELLED,2026-09-16 14:21:58.265407
SUB_000242,CUST_01065,BUSINESS,4999,YEARLY,CANCELLED,2026-09-03 14:21:58.266409
SUB_000243,CUST_01723,PRO,1499,MONTHLY,PAST_DUE,2026-09-27 14:21:58.266409
SUB_000244,CUST_01997,ENTERPRISE,19999,YEARLY,CANCELLED,2026-09-06 14:21:58.266409
SUB_000245,CUST_01492,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-03 14:21:58.266409
SUB_000246,CUST_00298,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-08 14:21:58.266409
SUB_000247,CUST_01051,ENTERPRISE,19999,MONTHLY,PAST_DUE,2026-09-07 14:21:58.266409
SUB_000248,CUST_01123,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-02 14:21:58.266409
SUB_000249,CUST_00533,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-21 14:21:58.266409
SUB_000250,CUST_01762,PRO,1499,MONTHLY,CANCELLED,2026-09-24 14:21:58.266409
SUB_000251,CUST_01991,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-08 14:21:58.267408
SUB_000252,CUST_00070,PRO,1499,MONTHLY,ACTIVE,2026-09-14 14:21:58.267408
SUB_000253,CUST_00714,BUSINESS,4999,YEARLY,CANCELLED,2026-09-09 14:21:58.267408
SUB_000254,CUST_01457,BASIC,499,YEARLY,ACTIVE,2026-09-11 14:21:58.267408
SUB_000255,CUST_01960,BASIC,499,MONTHLY,ACTIVE,2026-09-16 14:21:58.267408
SUB_000256,CUST_00712,BASIC,499,YEARLY,CANCELLED,2026-09-02 14:21:58.267408
SUB_000257,CUST_00956,BASIC,499,MONTHLY,PAST_DUE,2026-09-17 14:21:58.267408
SUB_000258,CUST_00810,ENTERPRISE,19999,MONTHLY,PAST_DUE,2026-09-10 14:21:58.267408
SUB_000259,CUST_00178,BASIC,499,MONTHLY,ACTIVE,2026-09-25 14:21:58.268407
SUB_000260,CUST_01530,PRO,1499,YEARLY,ACTIVE,2026-09-01 14:21:58.268407
SUB_000261,CUST_01698,PRO,1499,MONTHLY,ACTIVE,2026-09-12 14:21:58.268407
SUB_000262,CUST_00801,BASIC,499,YEARLY,ACTIVE,2026-09-25 14:21:58.268407
SUB_000263,CUST_01133,BUSINESS,4999,YEARLY,ACTIVE,2026-09-01 14:21:58.268407
SUB_000264,CUST_01907,ENTERPRISE,19999,YEARLY,PAST_DUE,2026-09-08 14:21:58.268407
